packageName,className,methodName,api,mcrCategories,mcrTags
org.aksw.palmetto.evaluate.correlation,Spearman,calculateRankCorrelationUsingRanks,none,none,none
org.aksw.palmetto.vector,LogRatioCalculationBasedCreatorTest,.,junit:junit,null,null
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,getDocumentsWithWords,com.carrotsearch:hppc,null,null
org.aksw.palmetto.prob.window,ContextWindowFrequencyDeterminer,determineWordSetCountSum,none,none,none
org.aksw.palmetto.calculations.indirect,CosinusBasedCoherenceTest,.,junit:junit,null,null
org.aksw.palmetto.prob.decorator,AbstractSlidingWindowFrequencyDeterminerDecorator,setWindowSize,none,none,none
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminerTest,test,junit:junit,null,null
org.aksw.palmetto.webapp,PerformanceTest,main,none,none,none
org.aksw.palmetto.calculations.direct,JaccardConfirmationMeasure,.,none,none,none
org.aksw.palmetto.subsets,OneOneAndSelf,getSubsetDefinition,com.carrotsearch:hppc,null,null
org.aksw.palmetto.vector,JaccardCalculationBasedCreatorTest,.,junit:junit,null,null
org.aksw.palmetto.calculations.direct,FitelsonConfirmationMeasure,getName,none,none,none
org.aksw.palmetto.calculations.indirect,AbstractVectorBasedCalculation,.,none,none,none
org.aksw.palmetto.corpus.lucene.creation,SimpleLuceneIndexCreatorTest,.,none,none,none
org.aksw.palmetto.subsets,OneOneTest,testWordSetLength4,junit:junit,null,null
org.aksw.palmetto.calculations.direct,OlssonsConfirmationMeasure,getName,none,none,none
org.aksw.palmetto.calculations.indirect,JaccardConfirmationMeasure,getName,none,none,none
org.aksw.palmetto.subsets,AnyAny,getSubsetDefinitionWithoutRestrictions,com.carrotsearch:hppc,null,null
org.aksw.palmetto.subsets,OneOne,getSubsetDefinition,com.carrotsearch:hppc,null,null
org.aksw.palmetto.evaluate.correlation,PearsonsSampleCorrelationCoefficientTest,.,junit:junit,null,null
org.aksw.palmetto.sum,ArithmeticMeanTest,data,junit:junit,null,null
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,close,org.apache.lucene:lucene-core,null,null
org.aksw.palmetto.calculations.direct,JaccardCoherenceCalculationTest,data,junit:junit,null,null
org.aksw.palmetto.vector,RatioCoherenceCalculationTest,data,junit:junit,null,null
org.aksw.palmetto.webapp,DfClient,main,commons-io:commons-io,null,null
