packageName,className,methodName,mcrCategories,mcrTags
org.dependencytrack.resources.v1,VulnerabilityResourceTest,createVulnerabilityDuplicateTest,none,none
org.dependencytrack.model,DependencyMetrics,setMedium,none,none
org.dependencytrack.model,PortfolioMetrics,setLow,none,none
org.dependencytrack.notification.publisher,WebhookPublisher,inform,null,null
org.dependencytrack.notification.publisher,WebhookPublisher,inform,null,null
org.dependencytrack.parser.github.graphql.model,GitHubVulnerability,.,none,none
org.dependencytrack.persistence,QueryManager,getAllProjects,none,none
org.dependencytrack.persistence,RepositoryQueryManager,getRepositoryMetaComponent,none,none
org.dependencytrack.resources.v1,ComponentResource,createComponent,null,null
org.dependencytrack.resources.v1,ComponentResource,identifyInternalComponents,null,null
